PY+	BPY+	DCA-	PF6-	TF-	TFSI-	PMF
1	0	1	0	0	0	0.6
1	0	0	1	0	0	0.9
1	0	0	0	1	0	1.4
1	0	0	0	0	1	0.85
0	1	1	0	0	0	0.35
0	1	0	1	0	0	0.65
0	1	0	0	1	0	1.15
0	1	0	0	0	1	0.6
0.3	0.7	1	0	0	0	0.425
0.3	0.7	0	1	0	0	0.725
0.3	0.7	0	0	1	0	1.225
0.3	0.7	0	0	0	1	0.675
0.7	0.3	1	0	0	0	0.525
0.7	0.3	0	1	0	0	0.825
0.7	0.3	0	0	1	0	1.325
0.7	0.3	0	0	0	1	0.775
0.5	0.5	0.3	0.7	0	0	0.685
0.5	0.5	0.3	0	0.7	0	1.035
0.5	0.5	0.3	0	0	0.7	0.65
0.5	0.5	0.7	0.3	0	0	0.565
0.5	0.5	0	0.3	0.7	0	1.125
0.5	0.5	0	0.3	0	0.7	0.74
0.5	0.5	0.7	0	0.3	0	0.715
0.5	0.5	0	0.7	0.3	0	0.925
0.5	0.5	0	0	0.3	0.7	0.89
0.5	0.5	0.7	0	0	0.3	0.55
0.5	0.5	0	0.7	0	0.3	0.76
0.5	0.5	0	0	0.7	0.3	1.11
1	0	0.7	0.3	0	0	0.69
1	0	0.7	0	0.3	0	0.84
1	0	0.7	0	0	0.3	0.675
1	0	0.3	0.7	0	0	0.81
1	0	0	0.7	0.3	0	1.05
1	0	0	0.7	0	0.3	0.885
1	0	0.3	0	0.7	0	1.16
1	0	0	0.3	0.7	0	1.25
1	0	0	0	0.7	0.3	1.235
1	0	0.3	0	0	0.7	0.775
1	0	0	0.3	0	0.7	0.865
1	0	0	0	0.3	0.7	1.015
0	1	0.7	0.3	0	0	0.44
0	1	0.7	0	0.3	0	0.59
0	1	0.7	0	0	0.3	0.425
0	1	0.3	0.7	0	0	0.56
0	1	0	0.7	0.3	0	0.8
0	1	0	0.7	0	0.3	0.635
0	1	0.3	0	0.7	0	0.91
0	1	0	0.3	0.7	0	1
0	1	0	0	0.7	0.3	0.985
0	1	0.3	0	0	0.7	0.525
0	1	0	0.3	0	0.7	0.615
0	1	0	0	0.3	0.7	0.765
